state,x,y
Andhra Pradesh, -70, -141
Arunachal Pradesh, 194, 93
Assam, 169, 55
Bihar, 48, 44
Chhattisgarh, -19, -36
Goa, -136, -139
Gujarat, -181, 1
Haryana, -104, 107
Himachal Pradesh, -90, 161
Jharkhand, 42, 6
Karnataka, -112, -157
Kerala, -98, -223
Madhya Pradesh, -82, -1
Maharashtra, -121, -62
Manipur, 189, 26
Meghalaya, 141, 37
Mizoram, 170, 6
Nagaland, 198, 50
Odisha, 30, -44
Punjab, -118, 141
Rajasthan, -158, 63
Sikkim, 99, 77
Tamil Nadu, -71, -213
Telangana, -62, -91
Tripura, 104, 61
Uttar Pradesh, -54, 127
Uttarakhand, -43, 70
West Bengal, 84, -4




























